행정구역,연도,월,연령대,인구수
부산광역시,2015,3,90~99세,9020
대구광역시,2015,3,90~99세,5726
인천광역시,2015,3,90~99세,7611
광주광역시,2015,3,90~99세,3710
대전광역시,2015,3,90~99세,3744
울산광역시,2015,3,90~99세,1951
세종특별자치시,2015,3,90~99세,580
경기도,2015,3,90~99세,31199
강원도,2015,3,90~99세,7185
충청북도,2015,3,90~99세,5652
충청남도,2015,3,90~99세,9035
전라북도,2015,3,90~99세,8568
전라남도,2015,3,90~99세,10653
경상북도,2015,3,90~99세,12070
경상남도,2015,3,90~99세,10130
제주특별자치도,2015,3,90~99세,3103
서울특별시,2015,3,100세 이상,4805
부산광역시,2015,3,100세 이상,1434
대구광역시,2015,3,100세 이상,518
인천광역시,2015,3,100세 이상,651
광주광역시,2015,3,100세 이상,307
대전광역시,2015,3,100세 이상,261
울산광역시,2015,3,100세 이상,129
세종특별자치시,2015,3,100세 이상,32
경기도,2015,3,100세 이상,2836
강원도,2015,3,100세 이상,569
충청북도,2015,3,100세 이상,402
충청남도,2015,3,100세 이상,627
전라북도,2015,3,100세 이상,609
전라남도,2015,3,100세 이상,718
경상북도,2015,3,100세 이상,700
경상남도,2015,3,100세 이상,558
제주특별자치도,2015,3,100세 이상,204
서울특별시,2015,4,0~9세,789710
부산광역시,2015,4,0~9세,264572
대구광역시,2015,4,0~9세,208300
인천광역시,2015,4,0~9세,270568
광주광역시,2015,4,0~9세,144632
대전광역시,2015,4,0~9세,147150
울산광역시,2015,4,0~9세,115456
세종특별자치시,2015,4,0~9세,23985
경기도,2015,4,0~9세,1244189
강원도,2015,4,0~9세,123825
충청북도,2015,4,0~9세,142151
충청남도,2015,4,0~9세,196353
전라북도,2015,4,0~9세,160634
전라남도,2015,4,0~9세,157124
경상북도,2015,4,0~9세,222610
경상남도,2015,4,0~9세,316841
제주특별자치도,2015,4,0~9세,62207
서울특별시,2015,4,10~19세,1025089
부산광역시,2015,4,10~19세,359691
대구광역시,2015,4,10~19세,300895
인천광역시,2015,4,10~19세,333849
광주광역시,2015,4,10~19세,204010
대전광역시,2015,4,10~19세,191984
울산광역시,2015,4,10~19세,144816
세종특별자치시,2015,4,10~19세,20208
경기도,2015,4,10~19세,1513962
강원도,2015,4,10~19세,176492
충청북도,2015,4,10~19세,185630
충청남도,2015,4,10~19세,234016
전라북도,2015,4,10~19세,224680
전라남도,2015,4,10~19세,216687
경상북도,2015,4,10~19세,285716
경상남도,2015,4,10~19세,395869
제주특별자치도,2015,4,10~19세,78678
서울특별시,2015,4,20~29세,1458737
부산광역시,2015,4,20~29세,455460
대구광역시,2015,4,20~29세,324359
인천광역시,2015,4,20~29세,399644
광주광역시,2015,4,20~29세,198380
대전광역시,2015,4,20~29세,210556
울산광역시,2015,4,20~29세,156843
세종특별자치시,2015,4,20~29세,19433
경기도,2015,4,20~29세,1618331
강원도,2015,4,20~29세,181762
충청북도,2015,4,20~29세,194128
충청남도,2015,4,20~29세,241357
전라북도,2015,4,20~29세,217018
전라남도,2015,4,20~29세,202732
경상북도,2015,4,20~29세,310115
경상남도,2015,4,20~29세,391623
제주특별자치도,2015,4,20~29세,71420
서울특별시,2015,4,30~39세,1699024
부산광역시,2015,4,30~39세,499330
대구광역시,2015,4,30~39세,348920
인천광역시,2015,4,30~39세,458171
광주광역시,2015,4,30~39세,226129
대전광역시,2015,4,30~39세,234255
울산광역시,2015,4,30~39세,181932
세종특별자치시,2015,4,30~39세,32678
경기도,2015,4,30~39세,1977194
강원도,2015,4,30~39세,191759
충청북도,2015,4,30~39세,218506
충청남도,2015,4,30~39세,299245
전라북도,2015,4,30~39세,236726
전라남도,2015,4,30~39세,226123
경상북도,2015,4,30~39세,351572
경상남도,2015,4,30~39세,483030
제주특별자치도,2015,4,30~39세,85084
서울특별시,2015,4,40~49세,1725011
부산광역시,2015,4,40~49세,574156
대구광역시,2015,4,40~49세,443763
인천광역시,2015,4,40~49세,519671
광주광역시,2015,4,40~49세,261194
대전광역시,2015,4,40~49세,269740
울산광역시,2015,4,40~49세,215257
세종특별자치시,2015,4,40~49세,31404
경기도,2015,4,40~49세,2304389
강원도,2015,4,40~49세,251906
충청북도,2015,4,40~49세,264313
충청남도,2015,4,40~49세,332489
전라북도,2015,4,40~49세,302812
전라남도,2015,4,40~49세,295488
경상북도,2015,4,40~49세,432250
경상남도,2015,4,40~49세,583563
제주특별자치도,2015,4,40~49세,109298
서울특별시,2015,4,50~59세,1595639
부산광역시,2015,4,50~59세,624344
대구광역시,2015,4,50~59세,416260
인천광역시,2015,4,50~59세,485657
광주광역시,2015,4,50~59세,213575
대전광역시,2015,4,50~59세,237858
울산광역시,2015,4,50~59세,197678
세종특별자치시,2015,4,50~59세,22598
경기도,2015,4,50~59세,1914399
강원도,2015,4,50~59세,266927
충청북도,2015,4,50~59세,256542
충청남도,2015,4,50~59세,315762
전라북도,2015,4,50~59세,292646
전라남도,2015,4,50~59세,303849
경상북도,2015,4,50~59세,451406
경상남도,2015,4,50~59세,545260
제주특별자치도,2015,4,50~59세,92697
서울특별시,2015,4,60~69세,1007592
부산광역시,2015,4,60~69세,413738
대구광역시,2015,4,60~69세,242749
인천광역시,2015,4,60~69세,242578
광주광역시,2015,4,60~69세,122887
대전광역시,2015,4,60~69세,128535
울산광역시,2015,4,60~69세,94495
세종특별자치시,2015,4,60~69세,13496
경기도,2015,4,60~69세,972889
강원도,2015,4,60~69세,164950
충청북도,2015,4,60~69세,151163
충청남도,2015,4,60~69세,202845
전라북도,2015,4,60~69세,203211
전라남도,2015,4,60~69세,217945
경상북도,2015,4,60~69세,300470
경상남도,2015,4,60~69세,319843
제주특별자치도,2015,4,60~69세,54874
서울특별시,2015,4,70~79세,576566
부산광역시,2015,4,70~79세,238356
대구광역시,2015,4,70~79세,149439
인천광역시,2015,4,70~79세,140225
광주광역시,2015,4,70~79세,75662
대전광역시,2015,4,70~79세,75562
울산광역시,2015,4,70~79세,45489
세종특별자치시,2015,4,70~79세,9903
경기도,2015,4,70~79세,606707
강원도,2015,4,70~79세,131061
충청북도,2015,4,70~79세,115343
충청남도,2015,4,70~79세,162798
전라북도,2015,4,70~79세,156306
전라남도,2015,4,70~79세,191459
경상북도,2015,4,70~79세,233967
경상남도,2015,4,70~79세,218893
제주특별자치도,2015,4,70~79세,38698
서울특별시,2015,4,80~89세,183686
부산광역시,2015,4,80~89세,75280
대구광역시,2015,4,80~89세,50555
인천광역시,2015,4,80~89세,51593
광주광역시,2015,4,80~89세,27100
대전광역시,2015,4,80~89세,27655
울산광역시,2015,4,80~89세,15360
세종특별자치시,2015,4,80~89세,4332
경기도,2015,4,80~89세,218929
강원도,2015,4,80~89세,47311
충청북도,2015,4,80~89세,45376
충청남도,2015,4,80~89세,71038
전라북도,2015,4,80~89세,66688
전라남도,2015,4,80~89세,79361
경상북도,2015,4,80~89세,95897
경상남도,2015,4,80~89세,88876
제주특별자치도,2015,4,80~89세,16242
서울특별시,2015,4,90~99세,28995
부산광역시,2015,4,90~99세,9072
대구광역시,2015,4,90~99세,5786
인천광역시,2015,4,90~99세,7693
광주광역시,2015,4,90~99세,3729
대전광역시,2015,4,90~99세,3756
울산광역시,2015,4,90~99세,1978
세종특별자치시,2015,4,90~99세,587
경기도,2015,4,90~99세,31434
강원도,2015,4,90~99세,7241
충청북도,2015,4,90~99세,5734
충청남도,2015,4,90~99세,9077
전라북도,2015,4,90~99세,8568
전라남도,2015,4,90~99세,10720
경상북도,2015,4,90~99세,12127
경상남도,2015,4,90~99세,10251
제주특별자치도,2015,4,90~99세,3102
서울특별시,2015,4,100세 이상,4840
부산광역시,2015,4,100세 이상,1440
대구광역시,2015,4,100세 이상,519
인천광역시,2015,4,100세 이상,658
광주광역시,2015,4,100세 이상,311
대전광역시,2015,4,100세 이상,263
울산광역시,2015,4,100세 이상,129
세종특별자치시,2015,4,100세 이상,32
경기도,2015,4,100세 이상,2856
강원도,2015,4,100세 이상,577
충청북도,2015,4,100세 이상,405
충청남도,2015,4,100세 이상,629
전라북도,2015,4,100세 이상,611
전라남도,2015,4,100세 이상,724
