행정구역,연도,월,연령대,인구수
인천광역시,2008,2,40~49세,506955
광주광역시,2008,2,40~49세,237202
대전광역시,2008,2,40~49세,257143
울산광역시,2008,2,40~49세,214775
경기도,2008,2,40~49세,2037598
강원도,2008,2,40~49세,257099
충청북도,2008,2,40~49세,253888
충청남도,2008,2,40~49세,319282
전라북도,2008,2,40~49세,294029
전라남도,2008,2,40~49세,301696
경상북도,2008,2,40~49세,438645
경상남도,2008,2,40~49세,555429
제주특별자치도,2008,2,40~49세,93157
서울특별시,2008,2,50~59세,1304458
부산광역시,2008,2,50~59세,527670
대구광역시,2008,2,50~59세,312136
인천광역시,2008,2,50~59세,301522
광주광역시,2008,2,50~59세,149121
대전광역시,2008,2,50~59세,167469
울산광역시,2008,2,50~59세,127771
경기도,2008,2,50~59세,1149555
강원도,2008,2,50~59세,188439
충청북도,2008,2,50~59세,176748
충청남도,2008,2,50~59세,235478
전라북도,2008,2,50~59세,227165
전라남도,2008,2,50~59세,236865
경상북도,2008,2,50~59세,343745
경상남도,2008,2,50~59세,379875
제주특별자치도,2008,2,50~59세,61100
서울특별시,2008,2,60~69세,805438
부산광역시,2008,2,60~69세,317006
대구광역시,2008,2,60~69세,186742
인천광역시,2008,2,60~69세,172598
광주광역시,2008,2,60~69세,96172
대전광역시,2008,2,60~69세,94525
울산광역시,2008,2,60~69세,59834
경기도,2008,2,60~69세,713669
강원도,2008,2,60~69세,151006
충청북도,2008,2,60~69세,130190
충청남도,2008,2,60~69세,185396
전라북도,2008,2,60~69세,182438
전라남도,2008,2,60~69세,221503
경상북도,2008,2,60~69세,261374
경상남도,2008,2,60~69세,252833
제주특별자치도,2008,2,60~69세,46064
서울특별시,2008,2,70~79세,362177
부산광역시,2008,2,70~79세,153918
대구광역시,2008,2,70~79세,101373
인천광역시,2008,2,70~79세,93347
광주광역시,2008,2,70~79세,50586
대전광역시,2008,2,70~79세,51487
울산광역시,2008,2,70~79세,29104
경기도,2008,2,70~79세,400101
강원도,2008,2,70~79세,91104
충청북도,2008,2,70~79세,88689
충청남도,2008,2,70~79세,140649
전라북도,2008,2,70~79세,126807
전라남도,2008,2,70~79세,157591
경상북도,2008,2,70~79세,185198
경상남도,2008,2,70~79세,170973
제주특별자치도,2008,2,70~79세,28588
서울특별시,2008,2,80~89세,112395
부산광역시,2008,2,80~89세,43019
대구광역시,2008,2,80~89세,28056
인천광역시,2008,2,80~89세,29778
광주광역시,2008,2,80~89세,16271
대전광역시,2008,2,80~89세,16487
울산광역시,2008,2,80~89세,9266
경기도,2008,2,80~89세,122118
강원도,2008,2,80~89세,30483
충청북도,2008,2,80~89세,27115
충청남도,2008,2,80~89세,42262
전라북도,2008,2,80~89세,40554
전라남도,2008,2,80~89세,49248
경상북도,2008,2,80~89세,59858
경상남도,2008,2,80~89세,51702
제주특별자치도,2008,2,80~89세,9346
서울특별시,2008,2,90~99세,14019
부산광역시,2008,2,90~99세,4084
대구광역시,2008,2,90~99세,2954
인천광역시,2008,2,90~99세,3392
광주광역시,2008,2,90~99세,2066
대전광역시,2008,2,90~99세,1974
울산광역시,2008,2,90~99세,1028
경기도,2008,2,90~99세,14225
강원도,2008,2,90~99세,3920
충청북도,2008,2,90~99세,3304
충청남도,2008,2,90~99세,5136
전라북도,2008,2,90~99세,4790
전라남도,2008,2,90~99세,5894
경상북도,2008,2,90~99세,6917
경상남도,2008,2,90~99세,4856
제주특별자치도,2008,2,90~99세,1857
서울특별시,2008,2,100세 이상,404
부산광역시,2008,2,100세 이상,106
대구광역시,2008,2,100세 이상,79
인천광역시,2008,2,100세 이상,86
광주광역시,2008,2,100세 이상,62
대전광역시,2008,2,100세 이상,51
울산광역시,2008,2,100세 이상,15
경기도,2008,2,100세 이상,365
강원도,2008,2,100세 이상,116
충청북도,2008,2,100세 이상,79
충청남도,2008,2,100세 이상,143
전라북도,2008,2,100세 이상,183
전라남도,2008,2,100세 이상,210
경상북도,2008,2,100세 이상,152
경상남도,2008,2,100세 이상,122
제주특별자치도,2008,2,100세 이상,59
서울특별시,2008,3,0~9세,953594
부산광역시,2008,3,0~9세,306283
대구광역시,2008,3,0~9세,251190
인천광역시,2008,3,0~9세,288383
광주광역시,2008,3,0~9세,170368
대전광역시,2008,3,0~9세,169162
울산광역시,2008,3,0~9세,126565
경기도,2008,3,0~9세,1349738
강원도,2008,3,0~9세,152825
충청북도,2008,3,0~9세,161706
충청남도,2008,3,0~9세,216116
전라북도,2008,3,0~9세,192887
전라남도,2008,3,0~9세,192449
경상북도,2008,3,0~9세,262598
경상남도,2008,3,0~9세,353086
제주특별자치도,2008,3,0~9세,68429
서울특별시,2008,3,10~19세,1282297
부산광역시,2008,3,10~19세,471326
대구광역시,2008,3,10~19세,368595
인천광역시,2008,3,10~19세,395995
광주광역시,2008,3,10~19세,226385
대전광역시,2008,3,10~19세,222093
울산광역시,2008,3,10~19세,176397
경기도,2008,3,10~19세,1612994
강원도,2008,3,10~19세,197633
충청북도,2008,3,10~19세,210510
충청남도,2008,3,10~19세,259825
전라북도,2008,3,10~19세,256918
전라남도,2008,3,10~19세,251409
경상북도,2008,3,10~19세,340421
경상남도,2008,3,10~19세,450479
제주특별자치도,2008,3,10~19세,81145
서울특별시,2008,3,20~29세,1722968
부산광역시,2008,3,20~29세,559326
대구광역시,2008,3,20~29세,368430
인천광역시,2008,3,20~29세,401641
광주광역시,2008,3,20~29세,218287
대전광역시,2008,3,20~29세,229436
울산광역시,2008,3,20~29세,160005
경기도,2008,3,20~29세,1582672
강원도,2008,3,20~29세,198831
충청북도,2008,3,20~29세,212070
충청남도,2008,3,20~29세,275438
전라북도,2008,3,20~29세,249263
전라남도,2008,3,20~29세,238256
경상북도,2008,3,20~29세,362872
경상남도,2008,3,20~29세,433354
제주특별자치도,2008,3,20~29세,74324
서울특별시,2008,3,30~39세,1920562
부산광역시,2008,3,30~39세,563073
대구광역시,2008,3,30~39세,419405
인천광역시,2008,3,30~39세,476935
광주광역시,2008,3,30~39세,248043
대전광역시,2008,3,30~39세,265137
울산광역시,2008,3,30~39세,196831
경기도,2008,3,30~39세,2144488
강원도,2008,3,30~39세,230136
충청북도,2008,3,30~39세,242842
충청남도,2008,3,30~39세,319829
전라북도,2008,3,30~39세,279704
전라남도,2008,3,30~39세,268413
경상북도,2008,3,30~39세,412028
경상남도,2008,3,30~39세,540638
제주특별자치도,2008,3,30~39세,94566
서울특별시,2008,3,40~49세,1718348
부산광역시,2008,3,40~49세,631250
대구광역시,2008,3,40~49세,451544
인천광역시,2008,3,40~49세,507241
광주광역시,2008,3,40~49세,237217
대전광역시,2008,3,40~49세,257094
울산광역시,2008,3,40~49세,214961
경기도,2008,3,40~49세,2041098
강원도,2008,3,40~49세,257235
충청북도,2008,3,40~49세,254308
충청남도,2008,3,40~49세,319987
전라북도,2008,3,40~49세,294308
전라남도,2008,3,40~49세,302104
경상북도,2008,3,40~49세,439391
경상남도,2008,3,40~49세,556423
제주특별자치도,2008,3,40~49세,93269
서울특별시,2008,3,50~59세,1308141
부산광역시,2008,3,50~59세,529004
대구광역시,2008,3,50~59세,312653
인천광역시,2008,3,50~59세,303387
광주광역시,2008,3,50~59세,149691
대전광역시,2008,3,50~59세,168207
울산광역시,2008,3,50~59세,128659
경기도,2008,3,50~59세,1157197
강원도,2008,3,50~59세,189408
충청북도,2008,3,50~59세,177654
충청남도,2008,3,50~59세,236640
전라북도,2008,3,50~59세,227624
전라남도,2008,3,50~59세,237317
경상북도,2008,3,50~59세,344813
경상남도,2008,3,50~59세,381789
제주특별자치도,2008,3,50~59세,61281
서울특별시,2008,3,60~69세,807582
부산광역시,2008,3,60~69세,317972
대구광역시,2008,3,60~69세,187303
인천광역시,2008,3,60~69세,173195
광주광역시,2008,3,60~69세,96243
대전광역시,2008,3,60~69세,94730
울산광역시,2008,3,60~69세,60128
경기도,2008,3,60~69세,715817
강원도,2008,3,60~69세,150925
충청북도,2008,3,60~69세,130277
충청남도,2008,3,60~69세,185325
전라북도,2008,3,60~69세,182226
전라남도,2008,3,60~69세,220657
경상북도,2008,3,60~69세,261433
경상남도,2008,3,60~69세,253251
제주특별자치도,2008,3,60~69세,46088
서울특별시,2008,3,70~79세,364924
부산광역시,2008,3,70~79세,154959
대구광역시,2008,3,70~79세,102149
인천광역시,2008,3,70~79세,94032
광주광역시,2008,3,70~79세,50936
대전광역시,2008,3,70~79세,51816
울산광역시,2008,3,70~79세,29332
경기도,2008,3,70~79세,402899
강원도,2008,3,70~79세,91780
충청북도,2008,3,70~79세,89251
충청남도,2008,3,70~79세,141461
전라북도,2008,3,70~79세,127367
전라남도,2008,3,70~79세,158764
경상북도,2008,3,70~79세,186453
