행정구역,연도,월,연령대,인구수
충청북도,2018,08,20~29세,200120
충청남도,2018,08,20~29세,247921
전라북도,2018,08,20~29세,217974
전라남도,2018,08,20~29세,205517
경상북도,2018,08,20~29세,300894
경상남도,2018,08,20~29세,395521
제주특별자치도,2018,08,20~29세,81271
서울특별시,2018,08,30~39세,1556915
부산광역시,2018,08,30~39세,459020
대구광역시,2018,08,30~39세,320293
인천광역시,2018,08,30~39세,435225
광주광역시,2018,08,30~39세,202334
대전광역시,2018,08,30~39세,211346
울산광역시,2018,08,30~39세,167729
세종특별자치시,2018,08,30~39세,57121
경기도,2018,08,30~39세,1942610
강원도,2018,08,30~39세,176556
충청북도,2018,08,30~39세,206169
충청남도,2018,08,30~39세,290194
전라북도,2018,08,30~39세,210600
전라남도,2018,08,30~39세,206808
경상북도,2018,08,30~39세,322149
경상남도,2018,08,30~39세,446170
제주특별자치도,2018,08,30~39세,87870
서울특별시,2018,08,40~49세,1609734
부산광역시,2018,08,40~49세,532957
대구광역시,2018,08,40~49세,409432
인천광역시,2018,08,40~49세,498798
광주광역시,2018,08,40~49세,249097
대전광역시,2018,08,40~49세,252834
울산광역시,2018,08,40~49세,196798
세종특별자치시,2018,08,40~49세,56842
경기도,2018,08,40~49세,2299070
강원도,2018,08,40~49세,236575
충청북도,2018,08,40~49세,250902
충청남도,2018,08,40~49세,333918
전라북도,2018,08,40~49세,285011
전라남도,2018,08,40~49세,274954
경상북도,2018,08,40~49세,404156
경상남도,2018,08,40~49세,557543
제주특별자치도,2018,08,40~49세,114347
서울특별시,2018,08,50~59세,1550045
부산광역시,2018,08,50~59세,595432
대구광역시,2018,08,50~59세,430355
인천광역시,2018,08,50~59세,512405
광주광역시,2018,08,50~59세,229439
대전광역시,2018,08,50~59세,241611
울산광역시,2018,08,50~59세,209706
세종특별자치시,2018,08,50~59세,37079
경기도,2018,08,50~59세,2125015
강원도,2018,08,50~59세,271847
충청북도,2018,08,50~59세,269973
충청남도,2018,08,50~59세,335592
전라북도,2018,08,50~59세,303264
전라남도,2018,08,50~59세,318803
경상북도,2018,08,50~59세,466289
경상남도,2018,08,50~59세,576640
제주특별자치도,2018,08,50~59세,107553
서울특별시,2018,08,60~69세,1129103
부산광역시,2018,08,60~69세,481569
대구광역시,2018,08,60~69세,288259
인천광역시,2018,08,60~69세,307066
광주광역시,2018,08,60~69세,142641
대전광역시,2018,08,60~69세,156475
울산광역시,2018,08,60~69세,121887
세종특별자치시,2018,08,60~69세,23160
경기도,2018,08,60~69세,1253043
강원도,2018,08,60~69세,202478
충청북도,2018,08,60~69세,189684
충청남도,2018,08,60~69세,243935
전라북도,2018,08,60~69세,228743
전라남도,2018,08,60~69세,242232
경상북도,2018,08,60~69세,359573
경상남도,2018,08,60~69세,396752
